No_QR,Nom_QR,No_arr,Nom_arr_Montreal,Nom_mun,Nb_log
"01","Cartierville","23","Ahuntsic-Cartierville","Montréal",10649
"02","Nouveau-Bordeaux","23","Ahuntsic-Cartierville","Montréal",13650
"03","Nicolas-Viel","23","Ahuntsic-Cartierville","Montréal",9484
"04","Sault-au-Récollet","23","Ahuntsic-Cartierville","Montréal",13581
"05","Saint-Sulpice","23","Ahuntsic-Cartierville","Montréal",10282
"06","La Visitation","23","Ahuntsic-Cartierville","Montréal",8969
"07","Sainte-Lucie","25","Villeray–Saint-Michel–Parc-Extension","Montréal",9971
"08","René-Goupil","25","Villeray–Saint-Michel–Parc-Extension","Montréal",4565
"09","Gabriel-Sagard","25","Villeray–Saint-Michel–Parc-Extension","Montréal",10869
"10","François-Perrault","25","Villeray–Saint-Michel–Parc-Extension","Montréal",7590
"11","Parc-Extension","25","Villeray–Saint-Michel–Parc-Extension","Montréal",13447
"12","Parc-Jarry","25","Villeray–Saint-Michel–Parc-Extension","Montréal",9209
"13","Crémazie","25","Villeray–Saint-Michel–Parc-Extension","Montréal",17380
"14","Saint-Édouard","24","Rosemont–La Petite-Patrie","Montréal",10485
"15","Père-Marquette","24","Rosemont–La Petite-Patrie","Montréal",11781
"16","Louis-Hébert","24","Rosemont–La Petite-Patrie","Montréal",8437
"17","Étienne Desmarteaux","24","Rosemont–La Petite-Patrie","Montréal",9509
"18","Vieux-Rosemont","24","Rosemont–La Petite-Patrie","Montréal",16768
"19","Petite-Côte","24","Rosemont–La Petite-Patrie","Montréal",9761
"20","Marie-Victorin","24","Rosemont–La Petite-Patrie","Montréal",15709
"21","Louis-Riel","22","Mercier–Hochelaga-Maisonneuve","Montréal",9989
"22","Dupéré","22","Mercier–Hochelaga-Maisonneuve","Montréal",6439
"23","Tétreaultville","22","Mercier–Hochelaga-Maisonneuve","Montréal",10124
"24","Beaurivage","22","Mercier–Hochelaga-Maisonneuve","Montréal",7386
"25","Guybourg","22","Mercier–Hochelaga-Maisonneuve","Montréal",1799
"26","Longue-Pointe","22","Mercier–Hochelaga-Maisonneuve","Montréal",11700
"27","Hochelaga","22","Mercier–Hochelaga-Maisonneuve","Montréal",6849
"28","Maisonneuve","22","Mercier–Hochelaga-Maisonneuve","Montréal",12203
"29","Préfontaine","22","Mercier–Hochelaga-Maisonneuve","Montréal",9927
"30","Sainte-Marie","19","Ville-Marie","Montréal",22252
"31","Lorimier","21","Le Plateau-Mont-Royal","Montréal",11894
"32","Parc-Lafontaine","21","Le Plateau-Mont-Royal","Montréal",9873
"33","Parc-Laurier","21","Le Plateau-Mont-Royal","Montréal",11285
"34","Mile End","21","Le Plateau-Mont-Royal","Montréal",14273
"35","Saint-Louis","21","Le Plateau-Mont-Royal","Montréal",9409
"36","Milton-Parc","21","Le Plateau-Mont-Royal","Montréal",9632
"37","Vieux-Montréal","19","Ville-Marie","Montréal",12794
"38","René-Lévesque","19","Ville-Marie","Montréal",26682
"39","Montagne","19","Ville-Marie","Montréal",22915
"40","Snowdon","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",11375
"41","Édouard-Montpetit","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12558
"42","Parc-Kent","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",13848
"43","Savane","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",14951
"44","Upper Lachine","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12501
"45","Loyola","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",12884
"46","Côte-Saint-Antoine","34","Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal",10117
"47","Pointe-Saint-Charles","20","Le Sud-Ouest","Montréal",9078
"48","Côte-Saint-Paul","20","Le Sud-Ouest","Montréal",8949
"49","Ville-Émard","20","Le Sud-Ouest","Montréal",7025
"50","Saint-Henri","20","Le Sud-Ouest","Montréal",10626
"51","Petite-Bourgogne","20","Le Sud-Ouest","Montréal",16641
"52","Marc-Aurèle-Fortin","33","Rivière-des-Prairies–Pointe-aux-Trembles","Montréal",14757
"53","Rivière-des-Prairies","33","Rivière-des-Prairies–Pointe-aux-Trembles","Montréal",7455
"54","Pointe-aux-Trembles","33","Rivière-des-Prairies–Pointe-aux-Trembles","Montréal",23548
"55","Chameran/Montpellier","15","Saint-Laurent","Montréal",9698
"56","Grenet","15","Saint-Laurent","Montréal",5010
"57","Dutrisac","15","Saint-Laurent","Montréal",4338
"58","Bois-Francs","15","Saint-Laurent","Montréal",15846
"59","Du College/Hodge","15","Saint-Laurent","Montréal",10611
"60A","Ouest","16","Montréal-Nord","Montréal",11541
"60B","Centre-Nord","16","Montréal-Nord","Montréal",5847
"60C","Centre","16","Montréal-Nord","Montréal",8849
"61","Est","16","Montréal-Nord","Montréal",14324
"62","Port-Maurice","14","Saint-Léonard","Montréal",19367
"63","Grande-Prairie","14","Saint-Léonard","Montréal",15058
"64","Verdun-Centre","12","Verdun","Montréal",17316
"65","Ile-des-Soeurs","12","Verdun","Montréal",12129
"66","Desmarchais-Crawford","12","Verdun","Montréal",9257
"67","Cecil-P.-Newman","17","LaSalle","Montréal",16890
"68","Sault-Saint-Louis","17","LaSalle","Montréal",24840
"69","Lachine-Ouest","27","Lachine","Montréal",7395
"70","Vieux-Lachine - Saint-Pierre","27","Lachine","Montréal",16048
"71","Pierrefonds-Ouest","31","Pierrefonds-Roxboro","Montréal",11685
"72","Pierrefonds-Est","31","Pierrefonds-Roxboro","Montréal",15432
"73","Anjou","09","Anjou","Montréal",20481
"74","Outremont","05","Outremont","Montréal",11750
"75","L'Île-Bizard–Sainte-Geneviève","32","L'Île-Bizard–Sainte-Geneviève","Montréal",7366
"80","Montréal-Est","","","Montréal-Est",2197
"81","Westmount","","","Westmount",9252
"82","Hampstead","","","Hampstead",2697
"83","Côte-Saint-Luc","","","Côte-Saint-Luc",15740
"84","Montréal-Ouest","","","Montréal-Ouest",1985
"85","Dorval","","","Dorval",9354
"86","Pointe-Claire","","","Pointe-Claire",15975
"87","Beaconsfield","","","Beaconsfield",6987
"88","Baie-D'Urfé","","","Baie-D'Urfé",1447
"89","Dollard-Des Ormeaux","","","Dollard-Des Ormeaux",17897
"90","Kirkland","","","Kirkland",7007
"91","Sainte-Anne-de-Bellevue","","","Sainte-Anne-de-Bellevue",2289
"92","Senneville","","","Senneville",393
"93","Mont-Royal","","","Mont-Royal",8763
